project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus,status_s3m,time_s3m,phase1_time_s3m,phase2_time_s3m,phase2_unify_time_s3m,phase2_diffy_calls_s3m,phase2_diffy_time_s3m,phase3_time_s3m,phase3_unify_time_s3m,phase3_diffy_calls_s3m,phase3_diffy_time_s3m,total_merge_module_time_s3m
AntennaPod/AntennaPod,27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66,mergeAnalysisOutput/java/AntennaPod/AntennaPod/27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66/app/src/main/java/de/danoeh/antennapod/ui/screen/playback/audio/AudioPlayerFragment.java,SUCCESS_WITHOUT_CONFLICTS,10220661,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,309201912,308.12556ms,,,,,,,,,308.339385ms,SUCCESS_WITHOUT_CONFLICTS,325966316,305.778775ms,,,,,,,,,305.987725ms,SUCCESS_WITHOUT_CONFLICTS,307612450,305.069136ms,,,,,,,,,305.272032ms,SUCCESS_WITHOUT_CONFLICTS,268306456829,,,,,,,,,,
AntennaPod/AntennaPod,27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66,mergeAnalysisOutput/java/AntennaPod/AntennaPod/27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66/net/download/service/src/test/java/de/danoeh/antennapod/net/download/service/episode/autodownload/DbReaderTest.java,SUCCESS_WITHOUT_CONFLICTS,2287279,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,200380706,197.333505ms,,,,,,,,,197.53755ms,SUCCESS_WITHOUT_CONFLICTS,200150584,197.862267ms,,,,,,,,,198.05922ms,SUCCESS_WITHOUT_CONFLICTS,200596990,197.950175ms,,,,,,,,,198.15582ms,SUCCESS_WITHOUT_CONFLICTS,264393528445,,,,,,,,,,
AntennaPod/AntennaPod,27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66,mergeAnalysisOutput/java/AntennaPod/AntennaPod/27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66/playback/service/src/main/java/de/danoeh/antennapod/playback/service/PlaybackService.java,SUCCESS_WITHOUT_CONFLICTS,3605469,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,1860180216,1.924699296s,,,,,,,,,1.924917582s,SUCCESS_WITHOUT_CONFLICTS,1886977372,1.828221011s,,,,,,,,,1.828425766s,SUCCESS_WITHOUT_CONFLICTS,1831100875,1.827548199s,,,,,,,,,1.827758101s,SUCCESS_WITHOUT_CONFLICTS,276964951266,,,,,,,,,,
AntennaPod/AntennaPod,27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66,mergeAnalysisOutput/java/AntennaPod/AntennaPod/27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66/storage/database/src/main/java/de/danoeh/antennapod/storage/database/DBReader.java,SUCCESS_WITHOUT_CONFLICTS,2467596,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,179103852,175.887665ms,,,,,,,,,176.109075ms,SUCCESS_WITHOUT_CONFLICTS,178319538,177.591115ms,,,,,,,,,177.803353ms,SUCCESS_WITHOUT_CONFLICTS,176185670,173.611727ms,,,,,,,,,173.825263ms,SUCCESS_WITHOUT_CONFLICTS,266214875907,,,,,,,,,,
AntennaPod/AntennaPod,27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66,mergeAnalysisOutput/java/AntennaPod/AntennaPod/27d9d0ca9bc9a4a4ca22d0e7e6636d52a4a4ce66/storage/database/src/main/java/de/danoeh/antennapod/storage/database/DBWriter.java,SUCCESS_WITHOUT_CONFLICTS,2565556,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,429443074,652.67169ms,,,,,,,,,652.886581ms,SUCCESS_WITHOUT_CONFLICTS,326016900,323.325057ms,,,,,,,,,323.53732ms,SUCCESS_WITHOUT_CONFLICTS,324508569,321.253908ms,,,,,,,,,321.462252ms,SUCCESS_WITHOUT_CONFLICTS,264604335923,,,,,,,,,,
Anuken/Mindustry,92a95e8fdcf8d831818948d29ec2aeb1a240fce2,mergeAnalysisOutput/java/Anuken/Mindustry/92a95e8fdcf8d831818948d29ec2aeb1a240fce2/core/src/mindustry/type/UnitType.java,SUCCESS_WITHOUT_CONFLICTS,3191438,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,576873568,574.627348ms,,,,,,,,,574.842862ms,SUCCESS_WITHOUT_CONFLICTS,571801248,568.662802ms,,,,,,,,,568.871657ms,SUCCESS_WITHOUT_CONFLICTS,572379128,567.382648ms,,,,,,,,,567.606296ms,SUCCESS_WITHOUT_CONFLICTS,1411611550,,,,,,,,,,
Anuken/Mindustry,92a95e8fdcf8d831818948d29ec2aeb1a240fce2,mergeAnalysisOutput/java/Anuken/Mindustry/92a95e8fdcf8d831818948d29ec2aeb1a240fce2/core/src/mindustry/ui/dialogs/JoinDialog.java,SUCCESS_WITHOUT_CONFLICTS,2404331,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,169912233,167.179283ms,,,,,,,,,167.391605ms,SUCCESS_WITHOUT_CONFLICTS,171795927,167.220442ms,,,,,,,,,167.430035ms,SUCCESS_WITHOUT_CONFLICTS,169443745,167.771351ms,,,,,,,,,167.987735ms,SUCCESS_WITHOUT_CONFLICTS,255840535998,,,,,,,,,,
Anuken/Mindustry,92a95e8fdcf8d831818948d29ec2aeb1a240fce2,mergeAnalysisOutput/java/Anuken/Mindustry/92a95e8fdcf8d831818948d29ec2aeb1a240fce2/core/src/mindustry/ui/dialogs/SettingsMenuDialog.java,SUCCESS_WITHOUT_CONFLICTS,2386926,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,206112935,203.487714ms,,,,,,,,,203.695739ms,SUCCESS_WITHOUT_CONFLICTS,206336153,203.401829ms,,,,,,,,,203.621861ms,SUCCESS_WITHOUT_CONFLICTS,205733797,202.944632ms,,,,,,,,,203.149651ms,SUCCESS_WITHOUT_CONFLICTS,2887954593,,,,,,,,,,
Anuken/Mindustry,02d56d27dbf461a9c827b87ddca4b28d8d62db12,mergeAnalysisOutput/java/Anuken/Mindustry/02d56d27dbf461a9c827b87ddca4b28d8d62db12/core/src/mindustry/type/UnitType.java,SUCCESS_WITHOUT_CONFLICTS,3180463,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,582697875,579.097501ms,,,,,,,,,579.304774ms,SUCCESS_WITHOUT_CONFLICTS,583960332,578.113338ms,,,,,,,,,578.330491ms,SUCCESS_WITHOUT_CONFLICTS,583385372,578.213456ms,,,,,,,,,578.436813ms,SUCCESS_WITHOUT_CONFLICTS,1424051420,,,,,,,,,,
Anuken/Mindustry,547ceff7362b84dad92274231c156911cf884fe9,mergeAnalysisOutput/java/Anuken/Mindustry/547ceff7362b84dad92274231c156911cf884fe9/core/src/mindustry/content/Blocks.java,SUCCESS_WITHOUT_CONFLICTS,7031562,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,2011570552,2.011314984s,,,,,,,,,2.011543913s,SUCCESS_WITHOUT_CONFLICTS,2020065802,2.01293294s,,,,,,,,,2.013159284s,SUCCESS_WITHOUT_CONFLICTS,2016326178,2.010487602s,,,,,,,,,2.010700762s,SUCCESS_WITHOUT_CONFLICTS,269605625928,,,,,,,,,,
Anuken/Mindustry,134167cb2eb6e8b70f8cb4568def9c8fd71e3f5a,mergeAnalysisOutput/java/Anuken/Mindustry/134167cb2eb6e8b70f8cb4568def9c8fd71e3f5a/core/src/mindustry/content/Blocks.java,SUCCESS_WITHOUT_CONFLICTS,7170449,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,2045993789,2.041660336s,,,,,,,,,2.04193362s,SUCCESS_WITHOUT_CONFLICTS,2087291415,2.034823871s,,,,,,,,,2.03504452s,SUCCESS_WITHOUT_CONFLICTS,2046580534,2.037688038s,,,,,,,,,2.037905305s,SUCCESS_WITHOUT_CONFLICTS,271479444071,,,,,,,,,,
Anuken/Mindustry,134167cb2eb6e8b70f8cb4568def9c8fd71e3f5a,mergeAnalysisOutput/java/Anuken/Mindustry/134167cb2eb6e8b70f8cb4568def9c8fd71e3f5a/core/src/mindustry/io/SaveVersion.java,SUCCESS_WITHOUT_CONFLICTS,2341832,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,132825816,130.15612ms,,,,,,,,,130.401752ms,SUCCESS_WITHOUT_CONFLICTS,132577956,129.614374ms,,,,,,,,,129.82035ms,SUCCESS_WITHOUT_CONFLICTS,132348392,130.154047ms,,,,,,,,,130.355037ms,SUCCESS_WITHOUT_CONFLICTS,256580040601,,,,,,,,,,
Anuken/Mindustry,b0f27c94bc18e756db3de6a4a73f5b6d82bebaa9,mergeAnalysisOutput/java/Anuken/Mindustry/b0f27c94bc18e756db3de6a4a73f5b6d82bebaa9/core/src/mindustry/logic/LExecutor.java,SUCCESS_WITH_CONFLICTS,3468607,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,2946134478,1.835430929s,966.377589ms,,0.0,0ns,,,,,2.803402453s,SUCCESS_WITH_CONFLICTS,4515867283,1.793778672s,130.549558ms,35.878991ms,0.0,0ns,2.59219179s,2.506649169s,0.0,0ns,4.516873264s,SUCCESS_WITH_CONFLICTS,4520671109,1.79549723s,131.638831ms,36.214976ms,0.0,0ns,2.593131563s,2.506166463s,0.0,0ns,4.52062716s,SUCCESS_WITH_CONFLICTS,1319385248,,,,,,,,,,
Anuken/Mindustry,e17a93121af78b8445064b8aea32ef32c66e7450,mergeAnalysisOutput/java/Anuken/Mindustry/e17a93121af78b8445064b8aea32ef32c66e7450/core/src/mindustry/input/InputHandler.java,SUCCESS_WITHOUT_CONFLICTS,3713438,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,1242319826,1.149553996s,,,,,,,,,1.149812372s,SUCCESS_WITHOUT_CONFLICTS,1154821296,1.149473809s,,,,,,,,,1.149698894s,SUCCESS_WITHOUT_CONFLICTS,1152632587,1.148165395s,,,,,,,,,1.148379064s,SUCCESS_WITHOUT_CONFLICTS,1547336427,,,,,,,,,,
Anuken/Mindustry,d337c91395370b3fb06881a522313d12e1be9223,mergeAnalysisOutput/java/Anuken/Mindustry/d337c91395370b3fb06881a522313d12e1be9223/core/src/mindustry/content/Blocks.java,SUCCESS_WITHOUT_CONFLICTS,6990515,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,1976671579,1.897541842s,,,,,,,,,1.897769589s,SUCCESS_WITHOUT_CONFLICTS,2021556208,1.893164618s,,,,,,,,,1.893383705s,SUCCESS_WITHOUT_CONFLICTS,1899169768,1.897495435s,,,,,,,,,1.89772874s,SUCCESS_WITHOUT_CONFLICTS,272111961616,,,,,,,,,,
Anuken/Mindustry,9a9e4611cd521deb2f892fddc4d1f1ea34118b2b,mergeAnalysisOutput/java/Anuken/Mindustry/9a9e4611cd521deb2f892fddc4d1f1ea34118b2b/core/src/mindustry/logic/LStatements.java,SUCCESS_WITHOUT_CONFLICTS,3520137,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,467342598,464.94464ms,,,,,,,,,465.164846ms,SUCCESS_WITHOUT_CONFLICTS,471302401,463.796863ms,,,,,,,,,464.016124ms,SUCCESS_WITHOUT_CONFLICTS,467124653,464.061412ms,,,,,,,,,464.271363ms,SUCCESS_WITHOUT_CONFLICTS,1371529172,,,,,,,,,,
Anuken/Mindustry,9a9e4611cd521deb2f892fddc4d1f1ea34118b2b,mergeAnalysisOutput/java/Anuken/Mindustry/9a9e4611cd521deb2f892fddc4d1f1ea34118b2b/core/src/mindustry/logic/LogicDialog.java,SUCCESS_WITH_CONFLICTS,2152183,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,183547013,8.571812ms,,,0.0,0ns,172.092691ms,,,,182.476781ms,SUCCESS_WITH_CONFLICTS,42024361,8.508569ms,,18.920999ms,0.0,0ns,30.412879ms,,,,39.201325ms,SUCCESS_WITH_CONFLICTS,48822818,8.51701ms,,18.818942ms,0.0,0ns,30.377702ms,,,,39.171682ms,SUCCESS_WITHOUT_CONFLICTS,258654712680,,,,,,,,,,
Anuken/Mindustry,9a9e4611cd521deb2f892fddc4d1f1ea34118b2b,mergeAnalysisOutput/java/Anuken/Mindustry/9a9e4611cd521deb2f892fddc4d1f1ea34118b2b/core/src/mindustry/ui/dialogs/SettingsMenuDialog.java,SUCCESS_WITHOUT_CONFLICTS,2446430,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,207744293,205.632776ms,,,,,,,,,205.846255ms,SUCCESS_WITHOUT_CONFLICTS,219385651,204.81689ms,,,,,,,,,205.024514ms,SUCCESS_WITHOUT_CONFLICTS,208394609,204.240528ms,,,,,,,,,204.457417ms,SUCCESS_WITHOUT_CONFLICTS,3146927641,,,,,,,,,,
Anuken/Mindustry,74596a222cd0a7d0b968d45d68ac13fb9ec27c98,mergeAnalysisOutput/java/Anuken/Mindustry/74596a222cd0a7d0b968d45d68ac13fb9ec27c98/core/src/mindustry/mod/Mods.java,SUCCESS_WITHOUT_CONFLICTS,3189172,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,342032375,339.371998ms,,,,,,,,,339.586121ms,SUCCESS_WITHOUT_CONFLICTS,342243968,339.039257ms,,,,,,,,,339.251639ms,SUCCESS_WITHOUT_CONFLICTS,348184194,339.827897ms,,,,,,,,,340.044237ms,SUCCESS_WITHOUT_CONFLICTS,1651997227,,,,,,,,,,
Anuken/Mindustry,74596a222cd0a7d0b968d45d68ac13fb9ec27c98,mergeAnalysisOutput/java/Anuken/Mindustry/74596a222cd0a7d0b968d45d68ac13fb9ec27c98/core/src/mindustry/ui/dialogs/ModsDialog.java,SUCCESS_WITHOUT_CONFLICTS,2793756,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,236220049,232.175043ms,,,,,,,,,232.38413ms,SUCCESS_WITHOUT_CONFLICTS,235057372,232.332218ms,,,,,,,,,232.545376ms,SUCCESS_WITHOUT_CONFLICTS,243677676,234.484844ms,,,,,,,,,234.705448ms,SUCCESS_WITHOUT_CONFLICTS,1180808450,,,,,,,,,,
Anuken/Mindustry,b5eba35ed9406f36a3f1c632abbcdf4b1b494323,mergeAnalysisOutput/java/Anuken/Mindustry/b5eba35ed9406f36a3f1c632abbcdf4b1b494323/core/src/mindustry/ai/Pathfinder.java,SUCCESS_WITHOUT_CONFLICTS,2488157,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,126644791,116.443972ms,,,,,,,,,116.65596ms,SUCCESS_WITHOUT_CONFLICTS,119182396,116.32272ms,,,,,,,,,116.542801ms,SUCCESS_WITHOUT_CONFLICTS,119598425,117.202241ms,,,,,,,,,117.414384ms,SUCCESS_WITHOUT_CONFLICTS,257504016905,,,,,,,,,,
Anuken/Mindustry,b5eba35ed9406f36a3f1c632abbcdf4b1b494323,mergeAnalysisOutput/java/Anuken/Mindustry/b5eba35ed9406f36a3f1c632abbcdf4b1b494323/core/src/mindustry/logic/LExecutor.java,SUCCESS_WITHOUT_CONFLICTS,4119607,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,629099025,625.786137ms,,,,,,,,,626.003261ms,SUCCESS_WITHOUT_CONFLICTS,633652690,632.551219ms,,,,,,,,,632.762317ms,SUCCESS_WITHOUT_CONFLICTS,633665063,627.774998ms,,,,,,,,,628.003242ms,SUCCESS_WITHOUT_CONFLICTS,840102251,,,,,,,,,,
Anuken/Mindustry,95e13f99a143e7f626dd458dec9bedcd32e0750c,mergeAnalysisOutput/java/Anuken/Mindustry/95e13f99a143e7f626dd458dec9bedcd32e0750c/core/src/mindustry/content/Blocks.java,SUCCESS_WITHOUT_CONFLICTS,7056268,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,2010424054,2.007269876s,,,,,,,,,2.007490276s,SUCCESS_WITHOUT_CONFLICTS,2398387280,2.007706008s,,,,,,,,,2.007923676s,SUCCESS_WITHOUT_CONFLICTS,2134949653,2.004242819s,,,,,,,,,2.004454006s,SUCCESS_WITHOUT_CONFLICTS,273776235865,,,,,,,,,,
Anuken/Mindustry,95e13f99a143e7f626dd458dec9bedcd32e0750c,mergeAnalysisOutput/java/Anuken/Mindustry/95e13f99a143e7f626dd458dec9bedcd32e0750c/core/src/mindustry/world/blocks/environment/Floor.java,SUCCESS_WITHOUT_CONFLICTS,2203925,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,63235538,60.638298ms,,,,,,,,,60.856561ms,SUCCESS_WITHOUT_CONFLICTS,192036002,60.646257ms,,,,,,,,,60.852295ms,SUCCESS_WITHOUT_CONFLICTS,63655584,60.765576ms,,,,,,,,,60.988395ms,SUCCESS_WITHOUT_CONFLICTS,258521902670,,,,,,,,,,
Anuken/Mindustry,95e13f99a143e7f626dd458dec9bedcd32e0750c,mergeAnalysisOutput/java/Anuken/Mindustry/95e13f99a143e7f626dd458dec9bedcd32e0750c/core/src/mindustry/world/blocks/logic/LogicBlock.java,SUCCESS_WITHOUT_CONFLICTS,2500671,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,165705558,162.906231ms,,,,,,,,,163.11266ms,SUCCESS_WITHOUT_CONFLICTS,165958554,162.563142ms,,,,,,,,,162.768572ms,SUCCESS_WITHOUT_CONFLICTS,165727915,163.197002ms,,,,,,,,,163.399435ms,SUCCESS_WITHOUT_CONFLICTS,1395605339,,,,,,,,,,
